service_category_code,Service,service_sort_order,Out of pocket,Private Health Insurance,Medicare,Medicaid,CHIP,Department of Defense,Department of Veterans Affairs,Other Third Party Payers and Programs,Government Public Health Activities,Investment,Total
hospital_care,Hospital Care,10,40609000000,558936000000,439834000000,318870000000,7830000000,18214000000,77240000000,173205000000,,,1634738000000
physician_clinical_services,Physician and Clinical Services,20,94260000000,505059000000,251190000000,112489000000,6889000000,19770000000,21303000000,98722000000,,,1109681000000
other_professional_services,Other Professional Services,30,44815000000,57303000000,47489000000,17140000000,773000000,,,17339000000,,,184859000000
dental_services,Dental Services,40,72546000000,78170000000,12591000000,15191000000,3532000000,1793000000,1372000000,3983000000,,,189179000000
other_health_residential_personal_care,"Other Health, Residential, and Personal Care",50,11243000000,21101000000,4569000000,199841000000,2785000000,,1018000000,79912000000,,,320469000000
home_health_care,Home Health Care,60,30368000000,37291000000,55742000000,38189000000,83000000,,1610000000,6083000000,,,169365000000
nursing_care_ccrc,Nursing Care Facilities and Continuing Care Retirement Communities,70,48699000000,19257000000,47258000000,78939000000,15000000,,7021000000,18714000000,,,219903000000
prescription_drugs,Retail Prescription Drugs,80,54973000000,172095000000,162769000000,53886000000,3857000000,7241000000,5846000000,6301000000,,,466968000000
other_nondurable_medical_products,Other Non-Durable Medical Products,90,123230000000,,5472000000,,,,,,,,128702000000
durable_medical_equipment,Durable Medical Equipment,100,35810000000,18923000000,18472000000,11513000000,292000000,,,1349000000,,,86358000000
administration_nonmedical_insurance,Government Administration and Non-Medical Insurance Expenditures,110,,176458000000,72614000000,85634000000,4940000000,2991000000,2170000000,27324000000,,,372132000000
public_health,Government Public Health Activities,120,,,,,,,,,157569000000,,157569000000
investment,Investment,130,,,,,,,,,,238664000000,238664000000
total,Total National Health Expenditures,999,556554000000,1644592000000,1118000000000,931692000000,30995000000,50009000000,117580000000,432933000000,157569000000,238664000000,5278588000000
