edge_id,from_rule_id,edge_type,to_rule_id,effective_start,effective_end,notes
ipps.fy2024.base_operating_payment--depends_on--ipps.fy2024.ms_drg_weight,ipps.fy2024.base_operating_payment,depends_on,ipps.fy2024.ms_drg_weight,2023-10-01,2024-09-30,
ipps.fy2024.base_operating_payment--depends_on--ipps.fy2024.standardized_amount,ipps.fy2024.base_operating_payment,depends_on,ipps.fy2024.standardized_amount,2023-10-01,2024-09-30,
ipps.fy2024.base_operating_payment--depends_on--ipps.fy2024.wage_index,ipps.fy2024.base_operating_payment,depends_on,ipps.fy2024.wage_index,2023-10-01,2024-09-30,
ipps.fy2024.final_payment--depends_on--ipps.fy2024.base_operating_payment,ipps.fy2024.final_payment,depends_on,ipps.fy2024.base_operating_payment,2023-10-01,2024-09-30,
ipps.fy2024.final_payment--may_add--ipps.fy2024.dsh,ipps.fy2024.final_payment,may_add,ipps.fy2024.dsh,2023-10-01,2024-09-30,
ipps.fy2024.final_payment--may_add--ipps.fy2024.ime,ipps.fy2024.final_payment,may_add,ipps.fy2024.ime,2023-10-01,2024-09-30,
ipps.fy2024.final_payment--may_add--ipps.fy2024.ntap,ipps.fy2024.final_payment,may_add,ipps.fy2024.ntap,2023-10-01,2024-09-30,
ipps.fy2024.final_payment--may_add--ipps.fy2024.outlier,ipps.fy2024.final_payment,may_add,ipps.fy2024.outlier,2023-10-01,2024-09-30,
ipps.fy2024.final_payment--may_add--ipps.fy2024.uncompensated_care,ipps.fy2024.final_payment,may_add,ipps.fy2024.uncompensated_care,2023-10-01,2024-09-30,
ipps.fy2024.final_payment--may_apply--ipps.fy2024.hac,ipps.fy2024.final_payment,may_apply,ipps.fy2024.hac,2023-10-01,2024-09-30,
ipps.fy2024.final_payment--may_apply--ipps.fy2024.hrrp,ipps.fy2024.final_payment,may_apply,ipps.fy2024.hrrp,2023-10-01,2024-09-30,
ipps.fy2024.final_payment--may_apply--ipps.fy2024.transfer,ipps.fy2024.final_payment,may_apply,ipps.fy2024.transfer,2023-10-01,2024-09-30,
ipps.fy2024.final_payment--may_apply--ipps.fy2024.vbp,ipps.fy2024.final_payment,may_apply,ipps.fy2024.vbp,2023-10-01,2024-09-30,
ipps.fy2025.base_operating_payment--depends_on--ipps.fy2025.ms_drg_weight,ipps.fy2025.base_operating_payment,depends_on,ipps.fy2025.ms_drg_weight,2024-10-01,2025-09-30,
ipps.fy2025.base_operating_payment--depends_on--ipps.fy2025.standardized_amount,ipps.fy2025.base_operating_payment,depends_on,ipps.fy2025.standardized_amount,2024-10-01,2025-09-30,
ipps.fy2025.base_operating_payment--depends_on--ipps.fy2025.wage_index,ipps.fy2025.base_operating_payment,depends_on,ipps.fy2025.wage_index,2024-10-01,2025-09-30,
ipps.fy2025.final_payment--depends_on--ipps.fy2025.base_operating_payment,ipps.fy2025.final_payment,depends_on,ipps.fy2025.base_operating_payment,2024-10-01,2025-09-30,
ipps.fy2025.final_payment--may_add--ipps.fy2025.dsh,ipps.fy2025.final_payment,may_add,ipps.fy2025.dsh,2024-10-01,2025-09-30,
ipps.fy2025.final_payment--may_add--ipps.fy2025.ime,ipps.fy2025.final_payment,may_add,ipps.fy2025.ime,2024-10-01,2025-09-30,
ipps.fy2025.final_payment--may_add--ipps.fy2025.ntap,ipps.fy2025.final_payment,may_add,ipps.fy2025.ntap,2024-10-01,2025-09-30,
ipps.fy2025.final_payment--may_add--ipps.fy2025.outlier,ipps.fy2025.final_payment,may_add,ipps.fy2025.outlier,2024-10-01,2025-09-30,
ipps.fy2025.final_payment--may_add--ipps.fy2025.uncompensated_care,ipps.fy2025.final_payment,may_add,ipps.fy2025.uncompensated_care,2024-10-01,2025-09-30,
ipps.fy2025.final_payment--may_apply--ipps.fy2025.hac,ipps.fy2025.final_payment,may_apply,ipps.fy2025.hac,2024-10-01,2025-09-30,
ipps.fy2025.final_payment--may_apply--ipps.fy2025.hrrp,ipps.fy2025.final_payment,may_apply,ipps.fy2025.hrrp,2024-10-01,2025-09-30,
ipps.fy2025.final_payment--may_apply--ipps.fy2025.transfer,ipps.fy2025.final_payment,may_apply,ipps.fy2025.transfer,2024-10-01,2025-09-30,
ipps.fy2025.final_payment--may_apply--ipps.fy2025.vbp,ipps.fy2025.final_payment,may_apply,ipps.fy2025.vbp,2024-10-01,2025-09-30,
opps.2024_q1.published_rate--depends_on--opps.2024_q1.hcpcs_status_apc,opps.2024_q1.published_rate,depends_on,opps.2024_q1.hcpcs_status_apc,2024-01-01,2024-03-31,
